Name,Title/Tenure,Category,Home College,Home Department,Last Name,First Name,PI Count,Co-I Count,Flagged: Climate + Energy,Byrd,SI - Climate,Affiliation,Column1,,,
"Wang, Sheng-Hung",Research Associate 2-Physical,Biophysical,Office of Academic Affairs,Byrd Polar & Climate Rsch Cntr,Wang,Shen-Hung,0,0,,,Yes,,,,,
"Ames, Nathan",Director-00,,College of Engineering,Engineering Rsch Operations,Ames,Nate,9,8,Yes,,Yes,,,,,
"Weavers, Linda",Professor,Adaptation,College of Engineering,"Civil, Envir & Geod Eng",Weavers,Linda,5,5,,,,,,,,
"Welch, Susan",Research Scientist,Biophysical,Office of Academic Affairs,Byrd Polar & Climate Rsch Cntr,Welch,Susan,0,3,Maybe,Yes,Yes,,,,,
"White, Samuel",Associate Professor,NA,Arts and Sciences,History,White,Samuel,0,0,,,Yes,,,,,
"Rizzoni, Giorgio",Professor,,College of Engineering,Mechanical & Aerospace Engr,Rizzoni,Giorigio,27,9,Yes,,Yes,,,,,
"Williams, Roger",Associate Professor,Adaptation,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Williams,Roger,0,0,Maybe,,Yes,,,,,
"Wilson, Aaron",Research Scientist,Biophysical,Office of Academic Affairs,Byrd Polar & Climate Rsch Cntr,Wilson,Aaron,0,5,Maybe,Yes,Yes,Byrd; State Climate Office of Ohio,,,,
"Wilson, Robyn",Professor,Adaptation,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Wilson,Robyn,8,8,,,Yes,,,,,
"Winston, Ryan",Assistant Professor,Adaptation,"Coll of Food,Agr,Envir Science",Food Agr & Biological Engr,Winston,Ryan,8,4,,,Yes,,,,,
"Xiao, Ningchuan",Professor,Adaptation,Arts and Sciences,Geography,Xiao,Ningchuan,0,3,,,,,,,,
"Zhao, Kaiguang",Associate Professor,Biophysical,"Coll of Food,Agr,Envir Science",OARDC-Environ & Natural Res,Zhao,Kaiguang,0,6,,,Yes,,,,,
