Name,Name_fm,Name_fml,Award_AuthID,Last Name,Sal_ID
"Enger, Benjamin D",benjamin d,benjamin d enger,923,enger,25706
"England, Eric M",eric m,eric m england,924,england,24050
"Englert, Joshua A",joshua a,joshua a englert,925,englert,21334
"Epley, Hannah Kohler",hannah kohler,hannah kohler epley,926,epley,1873
"Epperla, Narendranath",narendranath,narendranath epperla,927,epperla,32797
"Erbaugh, John Mark",john mark,john mark erbaugh,928,erbaugh,
"Erdal, Barbaros Selnur",barbaros selnur,barbaros selnur erdal,929,erdal,
"Ernst, Stanley C",stanley c,stanley c ernst,930,ernst,
"Ertin, Emre",emre,emre ertin,931,ertin,37447
"Eryilmaz, Atilla",atilla,atilla eryilmaz,932,eryilmaz,6432
"Eryilmaz, Irem",irem,irem eryilmaz,933,eryilmaz,13442
"Espinosa Morazan, Allan Vigarny",allan vigarny,allan vigarny espinosa morazan,934,espinosa morazan,
"Essandoh, Michael Kojo",michael kojo,michael kojo essandoh,935,essandoh,13316
"Essig, Garth F",garth f,garth f essig,936,essig,1825
"Estadt, Michael John",michael john,michael john estadt,937,estadt,34464
"Ettlinger, Nancy",nancy,nancy ettlinger,938,ettlinger,35853
"Eubank, Tim",tim,tim eubank,939,eubank,
"Evanchan, Jason Paul",jason paul,jason paul evanchan,940,evanchan,
"Evans, Cynthia Beth",cynthia beth,cynthia beth evans,941,evans,37124
"Evans, David Clay",david clay,david clay evans,942,evans,
"Evans, Gwen",gwen,gwen evans,943,evans,
"Evans, Jason VanBuren",jason vanburen,jason vanburen evans,944,evans,
"Evans, Kevin David",kevin david,kevin david evans,945,evans,34225
"Even, Jennifer Lee",jennifer lee,jennifer lee even,946,even,
"Evers, Michael Francis",michael francis,michael francis evers,947,evers,
"Exline, Matthew C",matthew c,matthew c exline,948,exline,194
"Ezeji, Thaddeus Chukwuemeka",thaddeus chukwuemeka,thaddeus chukwuemeka ezeji,949,ezeji,6449
"Faerman, Marcio",marcio,marcio faerman,950,faerman,
"Faggian, Alessandra",alessandra,alessandra faggian,951,faggian,
"Fahey, Patrick Joseph",patrick joseph,patrick joseph fahey,952,fahey,
"Failla, Mark L",mark l,mark l failla,953,failla,
"Fallis, Robert",robert,robert fallis,954,fallis,23044
"Fan, Liang-Shih",liangshih,liangshih fan,955,fan,34083
"Farag, Alexander",alexander,alexander farag,956,farag,21107
"Fareed, Naleef",naleef,naleef fareed,957,fareed,24930
"Farhadi, Francis H",francis h,francis h farhadi,958,farhadi,13147
"Farietta, Thalia",thalia,thalia farietta,959,farietta,
"Farkas, Laszlo",laszlo,laszlo farkas,960,farkas,28064
"Farrar, William Blair",william blair,william blair farrar,961,farrar,33855
"Farrell, Molly Jeanne",molly jeanne,molly jeanne farrell,962,farrell,9449
"Farson, Dave Forest",dave forest,dave forest farson,963,farson,38080
"Fatehchand, Kavin",kavin,kavin fatehchand,964,fatehchand,
"Faulds, Eileen Renee",eileen renee,eileen renee faulds,965,faulds,3283
"Faw, Timothy Dale",timothy dale,timothy dale faw,966,faw,
"Fayed, Ayman Adel",ayman adel,ayman adel fayed,967,fayed,39671
"Fazio, Russell H",russell h,russell h fazio,968,fazio,890
"Fedorov, Vadim V.",vadim v,vadim v fedorov,969,fedorov,14436
"Felix, Ashley",ashley,ashley felix,970,felix,21014
"Feng, Xin",xin,xin feng,971,feng,10947
"Fenger, Joelle M.",joelle m,joelle m fenger,972,fenger,6318
"Fennessy, Michelle M",michelle m,michelle m fennessy,973,fennessy,
"Ferketich, Amy Kathleen",amy kathleen,amy kathleen ferketich,974,ferketich,37160
"Fernandes, Ashley Keith Raymund",ashley keith raymund,ashley keith raymund fernandes,975,fernandes,37956
"Fernandez, Soledad A",soledad a,soledad a fernandez,976,fernandez,1159
"Ferrari, Theresa M",theresa m,theresa m ferrari,977,ferrari,322
"Ferraz Dias de Moraes, Luis Eduardo",luis eduardo,luis eduardo ferraz dias de moraes,978,ferraz dias de moraes,
"Feth, Lawrence Lee",lawrence lee,lawrence lee feth,979,feth,35851
"Fields, Henry William",henry william,henry william fields,980,fields,36766
"Fiksel, Joseph",joseph,joseph fiksel,981,fiksel,
"Fillinger, Robert John",robert john,robert john fillinger,982,fillinger,
"Filous, Angela Rose",angela rose,angela rose filous,983,filous,21843
"Finer, John James",john james,john james finer,984,finer,35338
"Fink, Barbara Ann",barbara ann,barbara ann fink,985,fink,
"Fink, Carolin",carolin,carolin fink,986,fink,31749
"Fiorentini, Lisa",lisa,lisa fiorentini,987,fiorentini,4566
"Firestone, Allen R",allen r,allen r firestone,988,firestone,39971
"Firkins, Jeffrey Lynn",jeffrey lynn,jeffrey lynn firkins,989,firkins,35715
"Firstenberg, Michael S.",michael s,michael s firstenberg,990,firstenberg,
"Fischer, Andrew J.",andrew j,andrew j fischer,991,fischer,2501
"Fish, Thomas Robert",thomas robert,thomas robert fish,992,fish,
"Fishel, Richard Allan",richard allan,richard allan fishel,993,fishel,3701
"Fisk, Harold A",harold a,harold a fisk,994,fisk,3393
"Fitzgerald, Elizabeth Moran",elizabeth moran,elizabeth moran fitzgerald,995,fitzgerald,34239
"Flanagan, Shawn Dennis",shawn dennis,shawn dennis flanagan,996,flanagan,
"Flanigan, David C.",david c,david c flanigan,997,flanigan,4749
"Flatnes, Jon Einar",jon einar,jon einar flatnes,998,flatnes,
"Fleming, Gloria",gloria,gloria fleming,999,fleming,4277
"Fleming, Gloria P.",gloria p,gloria p fleming,999,fleming,4277
"Fletcher Jr., Edward Charles",edward charles,edward charles fletcher jr,1001,fletcher jr,5505
"Flicker, Yuval Zvi",yuval zvi,yuval zvi flicker,1002,flicker,
"Flinn, Sharon Rose",sharon rose,sharon rose flinn,1003,flinn,
"Flint, Jaylene Bevlyn",jaylene bevlyn,jaylene bevlyn flint,1004,flint,32673
"Flint, Mark Shannon",mark shannon,mark shannon flint,1005,flint,32672
"Floge, Sheri A",sheri a,sheri a floge,1006,floge,
"Flom, Roanne Elaine",roanne elaine,roanne elaine flom,1007,flom,37919
"Flores, Antolin Simon",antolin simon,antolin simon flores,1008,flores,14727
"Florman, Lisa Carol",lisa carol,lisa carol florman,1009,florman,37802
"Fluharty, Francis Lee",francis lee,francis lee fluharty,1010,fluharty,
"Flynn, Joseph M",joseph m,joseph m flynn,1011,flynn,
"Focht, Brian Carl",brian carl,brian carl focht,1012,focht,4374
"Fogt, Jennifer Gail Swingle",jennifer gail swingle,jennifer gail swingle fogt,1013,fogt,39250
"Fogt, Nicklaus Franklin",nicklaus franklin,nicklaus franklin fogt,1014,fogt,36097
"Folefac, Edmund",edmund,edmund folefac,1015,folefac,24601
"Followell, Timothy B",timothy b,timothy b followell,1016,followell,
"Fontanella, Cynthia A.",cynthia a,cynthia a fontanella,1017,fontanella,5220
"Foraker, Randi Elizabeth",randi elizabeth,randi elizabeth foraker,1018,foraker,
"Ford, Jodi L",jodi l,jodi l ford,1019,ford,10880
"Fortier, Sarah Wall",sarah wall,sarah wall fortier,1020,fortier,8118
"Fortney, Christine Arlea",christine arlea,christine arlea fortney,1021,fortney,35966
"Fosler-Lussier, John Eric",john eric,john eric foslerlussier,1022,foslerlussier,2419
"Foster, Brian Lee",brian lee,brian lee foster,1023,foster,20454
"Foster, Mark P.",mark p,mark p foster,1024,foster,39025
"Fosu, Stacy",stacy,stacy fosu,1025,fosu,
"Fought, Haskell Jac",haskell jac,haskell jac fought,1026,fought,37840
"Foust, Kevin D.",kevin d,kevin d foust,1027,foust,
"Fowler, James Andrew",james andrew,james andrew fowler,1028,fowler,12346
"Fowler, Jeffrey M.",jeffrey m,jeffrey m fowler,1029,fowler,35076
"Fowler, Sara Megan",sara megan,sara megan fowler,1030,fowler,5263
"Fox, Jesse Alison",jesse alison,jesse alison fox,1031,fox,13552
"Fraker, Michael Edward",michael edward,michael edward fraker,1032,fraker,
"Francis, Brittney",brittney,brittney francis,1033,francis,
"Francis, David M",david m,david m francis,1034,francis,37997
"Franco, Veronica",veronica,veronica franco,1035,franco,6451
"Frankel, Gerald S",gerald s,gerald s frankel,1036,frankel,38099
"Frankel, Wendy L",wendy l,wendy l frankel,1037,frankel,38875
"Fraser, Hamish Lugard",hamish lugard,hamish lugard fraser,1038,fraser,36133
"Frasson, Renato",renato,renato frasson,1039,frasson,
"Fredette, Luke",luke,luke fredette,1040,fredette,15840
"Fredrick, Kurt Lawrence",kurt lawrence,kurt lawrence fredrick,1041,fredrick,2478
"Freeman, Richard R.",richard r,richard r freeman,1042,freeman,
"Freimer, Miriam Laura",miriam laura,miriam laura freimer,1043,freimer,34590
"Freisthler, Bridget J",bridget j,bridget j freisthler,1044,freisthler,21178
"Freitas, Michael Alan",michael alan,michael alan freitas,1045,freitas,40172
"Fresnedo Ramirez, Jonathan",jonathan,jonathan fresnedo ramirez,1046,fresnedo ramirez,21894
"Freud, Aharon G",aharon g,aharon g freud,1047,freud,39440
"Freudenstein, John Vincent",john vincent,john vincent freudenstein,1048,freudenstein,40249
"Freuler, Richard Jeffrey",richard jeffrey,richard jeffrey freuler,1049,freuler,33706
"Frey, Heather A",heather a,heather a frey,1050,frey,6156
"Friedman, Avner",avner,avner friedman,1051,friedman,1104
"Fristad, Mary A",mary a,mary a fristad,1052,fristad,
"Froyd, Jeffrey E",jeffrey e,jeffrey e froyd,1053,froyd,24299
"Fu, Hongjun",hongjun,hongjun fu,1054,fu,25967
"Fu, Jidong",jidong,jidong fu,1055,fu,28236
"Fuchs, James Robert",james robert,james robert fuchs,1056,fuchs,6175
"Fujita, Kentaro",kentaro,kentaro fujita,1057,fujita,5295
"Fuller, Michael Daniel",michael daniel,michael daniel fuller,1058,fuller,
"Fulton, John P",john p,john p fulton,1059,fulton,19789
"Funderburg, Nicholas T",nicholas t,nicholas t funderburg,1060,funderburg,18430
"Furnstahl, Richard John",richard john,richard john furnstahl,1061,furnstahl,36804
"Fussell, Kristen Marie DeVanna",kristen marie devanna,kristen marie devanna fussell,1062,fussell,15198
"Fussner, Lynn Ashley",lynn ashley,lynn ashley fussner,1063,fussner,7371
"Fuzer, Donald",donald,donald fuzer,1064,fuzer,12277
"Gabbe, Patricia Temple",patricia temple,patricia temple gabbe,1065,gabbe,35591
"Gabel, Lawrence Lee",lawrence lee,lawrence lee gabel,1066,gabel,
"Gabriel, Tory A.",tory a,tory a gabriel,1067,gabriel,6109
"Gabrielli, Paolo",paolo,paolo gabrielli,1068,gabrielli,6600
"Gafford, Ellin Frair",ellin frair,ellin frair gafford,1069,gafford,37450
"Gahler, Allen M",allen m,allen m gahler,1070,gahler,434
"Gaitonde, Datta V",datta v,datta v gaitonde,1071,gaitonde,13770
"Galizia, Mauricio",mauricio,mauricio galizia,1072,galizia,
"Gallagher-Ford, Lynn Patricia",lynn patricia,lynn patricia gallagherford,1073,gallagherford,15094
"Gallant, Dorinda Joyce",dorinda joyce,dorinda joyce gallant,1074,gallant,4196
"Gallego Perez, Daniel",daniel,daniel gallego perez,1075,gallego perez,2107
"Gallo, Maria F.",maria f,maria f gallo,1076,gallo,18142
"Gallo, Sarah Lipinoga",sarah lipinoga,sarah lipinoga gallo,1077,gallo,
"Gan, Kock Kiam",kock kiam,kock kiam gan,1078,gan,36299
"Ganapathi, Asvin M",asvin m,asvin m ganapathi,1079,ganapathi,27409
"Ganesan, Latha Prabha",latha prabha,latha prabha ganesan,1080,ganesan,2057
"Ganesan, Latha Prabha Prabha",latha prabha prabha,latha prabha prabha ganesan,1080,ganesan,2057
"Ganju, Ramesh",ramesh,ramesh ganju,1082,ganju,6594
"Gao, Jie",jie,jie gao,1083,gao,26170
"Gao, Xiaoyi",xiaoyi,xiaoyi gao,1084,gao,27039
"Gao, Yu",yu,yu gao,1085,gao,35372
"Garabed, Rebecca",rebecca,rebecca garabed,1086,garabed,11391
"Garcia Guerra, Alvaro Garcia Guerra",alvaro garcia guerra,alvaro garcia guerra garcia guerra,1087,garcia guerra,32397
"Garcia, Lyda Guadalupe",lyda guadalupe,lyda guadalupe garcia,1088,garcia,20326
"Gardiner, Elizabeth Noel",elizabeth noel,elizabeth noel gardiner,1089,gardiner,
"Gardiner, Mary Margaret",mary margaret,mary margaret gardiner,1090,gardiner,11904
"Gardner, Alison K",alison k,alison k gardner,1091,gardner,16081
"Gardner, Christopher Brent",christopher brent,christopher brent gardner,1092,gardner,1039
"Gardner, David Sean",david sean,david sean gardner,1093,gardner,225
"Gardner, Ralph Iii",ralph iii,ralph iii gardner,1094,gardner,
"Garrett, Robert Kelly",robert kelly,robert kelly garrett,1095,garrett,6532
"Garvin, Jennifer",jennifer,jennifer garvin,1096,garvin,24838
"Garzon, Ramiro",ramiro,ramiro garzon,1097,garzon,3677
"Gates, Robert John",robert john,robert john gates,1098,gates,39480
"Gaudi, Bernard Scott",bernard scott,bernard scott gaudi,1099,gaudi,38017
"Gautam, Sachin",sachin,sachin gautam,1100,gautam,32251
"Gauthier, Daniel",daniel,daniel gauthier,1101,gauthier,20795
"Gauthier, Lynne V.",lynne v,lynne v gauthier,1102,gauthier,
"Gavrilin, Mikhail",mikhail,mikhail gavrilin,1103,gavrilin,39630
"Gawlik, Kate Elizabeth",kate elizabeth,kate elizabeth gawlik,1104,gawlik,6133
"Gebreyes, Wondwossen A",wondwossen a,wondwossen a gebreyes,1105,gebreyes,5130
"Gehrt, Stanley D.",stanley d,stanley d gehrt,1106,gehrt,2455
"Gelpi, Christopher Francis",christopher francis,christopher francis gelpi,1107,gelpi,17103
"Gentil Jr., Michael F",michael f,michael f gentil jr,1108,gentil jr,9195
"Gentil, Michael F",michael f,michael f gentil,1108,gentil,9195
"Gentzel, Irene Nichole",irene nichole,irene nichole gentzel,1110,gentzel,8084
"George, Barry Scott",barry scott,barry scott george,1111,george,
"George, Kelly Ann",kelly ann,kelly ann george,1112,george,5251
"Gerber, Madelyn Margaret",madelyn margaret,madelyn margaret gerber,1113,gerber,
"Gerlach, Anthony Thomas",anthony thomas,anthony thomas gerlach,1114,gerlach,
"Gertz, Evelyn Ann",evelyn ann,evelyn ann gertz,1115,gertz,
"Geyer, Susan Michelle",susan michelle,susan michelle geyer,1116,geyer,
"Ghadiali, Samir N.",samir n,samir n ghadiali,1117,ghadiali,11174
"Ghalichechian, Nima",nima,nima ghalichechian,1118,ghalichechian,16690
"Ghattas, Christian",christian,christian ghattas,1119,ghattas,26028
"Ghazisaeidi, Maryam",maryam,maryam ghazisaeidi,1120,ghazisaeidi,18122
"Ghosh, Amiya",amiya,amiya ghosh,1121,ghosh,28062
"Ghoshal, Kalpana",kalpana,kalpana ghoshal,1122,ghoshal,38627
"Giannone, Peter John",peter john,peter john giannone,1123,giannone,
"Gianotti, Rebecca L",rebecca l,rebecca l gianotti,1124,gianotti,21398
"Gibbs, H Lisle",h lisle,h lisle gibbs,1125,gibbs,1032
"Giglio, Pierre",pierre,pierre giglio,1126,giglio,19653
"Gilat, Amos",amos,amos gilat,1127,gilat,34628
"Gill, Carolina L",carolina l,carolina l gill,1128,gill,
"Gillam, Jacob Enoch",jacob enoch,jacob enoch gillam,1129,gillam,8008
"Gillespie, Shannon Lynn",shannon lynn,shannon lynn gillespie,1130,gillespie,7489
"Gillison, Maura Lianne",maura lianne,maura lianne gillison,1131,gillison,
"Gilor, Chen",chen,chen gilor,1132,gilor,
"Gimbert, Belinda G",belinda g,belinda g gimbert,1133,gimbert,4834
"Ginther, Shannon Leigh",shannon leigh,shannon leigh ginther,1134,ginther,
"Girth, Amanda Michelle",amanda michelle,amanda michelle girth,1135,girth,15108
"Giurgescu, Carmen",carmen,carmen giurgescu,1136,giurgescu,
"Giusti, M Monica",m monica,m monica giusti,1137,giusti,2899
"Giusti, Maria Monica",maria monica,maria monica giusti,1137,giusti,2899
"Glaser, M. Ronald",m ronald,m ronald glaser,1139,glaser,
"Glaser, M. Ronald Ronald",m ronald ronald,m ronald ronald glaser,1140,glaser,
"Glassman, Andrew H",andrew h,andrew h glassman,1141,glassman,3273
"Glassman, Michael J.",michael j,michael j glassman,1142,glassman,39556
"Gloag, Erin Samantha",erin samantha,erin samantha gloag,1143,gloag,31672
"Glover, David Charles",david charles,david charles glover,1144,glover,
"Go, Michael R",michael r,michael r go,1145,go,286
"Godbout, Jonathan Philip",jonathan philip,jonathan philip godbout,1146,godbout,4004
"Goebel, Patrick Charles",patrick charles,patrick charles goebel,1147,goebel,
"Goel, Prem Kumar",prem kumar,prem kumar goel,1148,goel,
"Goff, Debra Ann",debra ann,debra ann goff,1149,goff,
"Gogolyev, Andriy",andriy,andriy gogolyev,1150,gogolyev,24040
"Goh, Meow Hui",meow hui,meow hui goh,1151,goh,3421
"Goist, Kevin Joseph",kevin joseph,kevin joseph goist,1152,goist,17849
"Goist, Melissa M",melissa m,melissa m goist,1153,goist,160
"Goldberg, Richard Miles",richard miles,richard miles goldberg,1154,goldberg,
"Goldberger, Joshua E",joshua e,joshua e goldberger,1155,goldberger,40075
"Goldman, Joseph A",joseph a,joseph a goldman,1156,goldman,25729
"Goldstein, Howard",howard,howard goldstein,1157,goldstein,
"Goldwyn, Joshua",joshua,joshua goldwyn,1158,goldwyn,
"Golomb, Julie D.",julie d,julie d golomb,1159,golomb,16557
"Golubitsky, Martin A",martin a,martin a golubitsky,1160,golubitsky,10906
"Goncalves Arruda, Andreia",andreia,andreia goncalves arruda,1161,goncalves arruda,32401
"Gonsenhauser, Iahn",iahn,iahn gonsenhauser,1162,gonsenhauser,7493
"Gooch, Keith J",keith j,keith j gooch,1163,gooch,4846
"Goodell, Karen",karen,karen goodell,1164,goodell,3343
"Goodfellow, Paul Joseph",paul joseph,paul joseph goodfellow,1165,goodfellow,16592
"Goodhart, Andrew Thomas",andrew thomas,andrew thomas goodhart,1166,goodhart,
"Goodus, Matthew Todd",matthew todd,matthew todd goodus,1167,goodus,9039
"Goodway, Jacqueline Dawn",jacqueline dawn,jacqueline dawn goodway,1168,goodway,39794
"Gopalakrishnan, Sathya",sathya,sathya gopalakrishnan,1169,gopalakrishnan,15074
"Gopalan, Venkat",venkat,venkat gopalan,1170,gopalan,39265
"Gordillo, Gayle Marietta",gayle marietta,gayle marietta gordillo,1171,gordillo,
"Gordon, Steven Ira",steven ira,steven ira gordon,1172,gordon,
"Gordon, Zachary Nathan",zachary nathan,zachary nathan gordon,1173,gordon,
"Gorgas, Diane Lynn",diane lynn,diane lynn gorgas,1174,gorgas,37734
"Gorka, Stephanie",stephanie,stephanie gorka,1175,gorka,29424
"Gorr, Matthew W",matthew w,matthew w gorr,1176,gorr,5555
"Gort, Mileidis",mileidis,mileidis gort,1177,gort,
"Goswami, Swagata",swagata,swagata goswami,1178,goswami,
"Gottesman, Mary Margaret",mary margaret,mary margaret gottesman,1179,gottesman,
"Gottlieb, Esther Erica",esther erica,esther erica gottlieb,1180,gottlieb,1755
"Gough, Bryan M",bryan m,bryan m gough,1181,gough,20867
"Gould, Andrew Philip",andrew philip,andrew philip gould,1182,gould,
"Gouma, Pelagia-Iren",pelagiairen,pelagiairen gouma,1183,gouma,38704
"Gourapura, Renukaradhya Jayamurthy",renukaradhya jayamurthy,renukaradhya jayamurthy gourapura,1184,gourapura,10925
"Govindarajan, Rajgopal",rajgopal,rajgopal govindarajan,1185,govindarajan,20938
"Gowdy, Kymberly M",kymberly m,kymberly m gowdy,1186,gowdy,29380
"Goyal, Kanu",kanu,kanu goyal,1187,goyal,19776
"Gracious, Barbara L",barbara l,barbara l gracious,1188,gracious,
"Graham, David L",david l,david l graham,1189,graham,4856
"Graham, Margaret Clark",margaret clark,margaret clark graham,1190,graham,6470
"Grandinetti, Kathy Fagan",kathy fagan,kathy fagan grandinetti,1191,grandinetti,36137
"Grandinetti, Philip John",philip john,philip john grandinetti,1192,grandinetti,37376
"Granello, Darcy Haag",darcy haag,darcy haag granello,1193,granello,38559
"Grassman, Tyler Joshua",tyler joshua,tyler joshua grassman,1194,grassman,6837
"Gray, Darrell Mason",darrell mason,darrell mason gray,1195,gray,19734
"Gray, John Vincent",john vincent,john vincent gray,1196,gray,5075
"Gray, Suzanne Marie",suzanne marie,suzanne marie gray,1197,gray,18327
"Grecula, John Christopher",john christopher,john christopher grecula,1198,grecula,36057
"Green, Eric Michael",eric michael,eric michael green,1199,green,1
"Green, Kathryn R",kathryn r,kathryn r green,1200,green,
"Green, Patrick Lee",patrick lee,patrick lee green,1201,green,39009
"Greenbaum, Robert Theodore",robert theodore,robert theodore greenbaum,1202,greenbaum,40205
"Greenberger, David Burton",david burton,david burton greenberger,1203,greenberger,
"Greene, Howard L",howard l,howard l greene,1204,greene,35400
"Greene-Chandos, Diana Lynn",diana lynn,diana lynn greenechandos,1205,greenechandos,
"Greer-Short, Amara Dawn",amara dawn,amara dawn greershort,1206,greershort,
"Gregoire, Thomas Kenneth",thomas kenneth,thomas kenneth gregoire,1207,gregoire,33828
"Gregory, James W",james w,james w gregory,1208,gregory,6873
"Gregory, Megan",megan,megan gregory,1209,gregory,25234
"Grejner-Brzezinska, Dorota Alicja",dorota alicja,dorota alicja grejnerbrzezinska,1210,grejnerbrzezinska,36491
"Gremillion, Kristen Jody",kristen jody,kristen jody gremillion,1211,gremillion,36767
"Grever, Gail Marie",gail marie,gail marie grever,1212,grever,3119
"Grever, Michael Rhodes",michael rhodes,michael rhodes grever,1213,grever,33914
"Grieselhuber, Nicole",nicole,nicole grieselhuber,1214,grieselhuber,16269
"Griffen, Ann Lindsay",ann lindsay,ann lindsay griffen,1215,griffen,35597
"Griffin, Christine Elizabeth",christine elizabeth,christine elizabeth griffin,1216,griffin,
"Griffith, Elizabeth M",elizabeth m,elizabeth m griffith,1217,griffith,23875
"Griffith, Niesha Louise",niesha louise,niesha louise griffith,1218,griffith,
"Griffith, William Ashley",william ashley,william ashley griffith,1219,griffith,23860
"Grignol, Valerie Patrice",valerie patrice,valerie patrice grignol,1220,grignol,12227
"Grinstead, John Allen Ray",john allen ray,john allen ray grinstead,1221,grinstead,2955
"Groden, Joanna Louise",joanna louise,joanna louise groden,1222,groden,
"Groeber, Michael Anthony",michael anthony,michael anthony groeber,1223,groeber,1649
"Gross, David Carl",david carl,david carl gross,1224,gross,
"Grossbach, Andrew",andrew,andrew grossbach,1225,grossbach,23973
"Grotewold, Erich",erich,erich grotewold,1226,grotewold,
"Groth, Adam",adam,adam groth,1227,groth,22755
"Grottoli, Andrea G",andrea g,andrea g grottoli,1228,grottoli,4259
"Growden, Tyler Adam",tyler adam,tyler adam growden,1229,growden,
"Grunow, Anne Marie",anne marie,anne marie grunow,1230,grunow,36208
"Gruzberg, Ilya A",ilya a,ilya a gruzberg,1231,gruzberg,18151
"Grzybowski, Deborah Marie",deborah marie,deborah marie grzybowski,1232,grzybowski,34109
"Gu, Chen",chen,chen gu,1233,gu,4835
"Gu, Howard Haogang",howard haogang,howard haogang gu,1234,gu,2279
"Guan, Bo",bo,bo guan,1235,guan,3301
"Guan, Jianjun",jianjun,jianjun guan,1236,guan,
"Guatelli-Steinberg, Debra",debra,debra guatellisteinberg,1237,guatellisteinberg,425
"Guenther, Dennis Alfred",dennis alfred,dennis alfred guenther,1238,guenther,33642
"Guerau de Arellano Vilanova, Mireia",mireia,mireia guerau de arellano vilanova,1239,guerau de arellano vilanova,
"Guerau, Mireia",mireia,mireia guerau,1240,guerau,11399
"Guezennec, Yann Guillaume",yann guillaume,yann guillaume guezennec,1241,guezennec,35230
"Gugiu, Mihaiela R",mihaiela r,mihaiela r gugiu,1242,gugiu,
"Guillaumin, Julien",julien,julien guillaumin,1243,guillaumin,
"Guillermo Prieto Eibl, Maria del Pilar",maria del pilar,maria del pilar guillermo prieto eibl,1244,guillermo prieto eibl,
"Guillou, Reunan P",reunan p,reunan p guillou,1245,guillou,
"Guiot, Laurent P",laurent p,laurent p guiot,1246,guiot,
"Guirgis, Hossam",hossam,hossam guirgis,1247,guirgis,5338
"Gulati, Deepak Kumar",deepak kumar,deepak kumar gulati,1248,gulati,31875
"Gumina, Richard J",richard j,richard j gumina,1249,gumina,5900
"Gumpper, Kristyn Nicole",kristyn nicole,kristyn nicole gumpper,1250,gumpper,
"Gunn, John Spencer",john spencer,john spencer gunn,1251,gunn,2311
"Gunther, Carolyn Woods",carolyn woods,carolyn woods gunther,1252,gunther,3740
"Gunther, Richard Paul",richard paul,richard paul gunther,1253,gunther,
"Guo, Deliang",deliang,deliang guo,1254,guo,14762
"Guo, Junyi",junyi,junyi guo,1255,guo,2966
"Guo, Liang",liang,liang guo,1256,guo,18330
"Guo, Lianwang",lianwang,lianwang guo,1257,guo,18330
"Guo, Peixuan",peixuan,peixuan guo,1258,guo,21466
"Gupta, Abhishek",abhishek,abhishek gupta,1259,gupta,20901
"Gupta, Inder Jeet",inder jeet,inder jeet gupta,1260,gupta,34180
"Gupta, Jay A",jay a,jay a gupta,1261,gupta,3379
"Gupta, Nilendu",nilendu,nilendu gupta,1262,gupta,35901
"Gur, Tamar L",tamar l,tamar l gur,1263,gur,18414
"Gurcan, Metin Nafi",metin nafi,metin nafi gurcan,1264,gurcan,
"Gure, Tanya R",tanya r,tanya r gure,1265,gure,38037
"Gushchina, Liubov Vladimirovna",liubov vladimirovna,liubov vladimirovna gushchina,1266,gushchina,
"Gustin, Jillian Lee",jillian lee,jillian lee gustin,1267,gustin,1571
"Guttke, Christina D",christina d,christina d guttke,1268,guttke,
"Guttridge, Denis Christian",denis christian,denis christian guttridge,1269,guttridge,
"Guvenc, Levent",levent,levent guvenc,1270,guvenc,3765
"Gyorke, Sandor",sandor,sandor gyorke,1271,gyorke,3332
"Haas, Garrie Joseph",garrie joseph,garrie joseph haas,1272,haas,34753
"Habash, Diane Louise",diane louise,diane louise habash,1273,habash,
"Habing, Gregory Georg",gregory georg,gregory georg habing,1274,habing,16802
"Hackshaw, Kevin Victor",kevin victor,kevin victor hackshaw,1275,hackshaw,
"Hadad, Christopher Martin",christopher martin,christopher martin hadad,1276,hadad,37783
"Haddad, Nabil Jamil",nabil jamil,nabil jamil haddad,1277,haddad,38078
"Hade, Erinn Melissa",erinn melissa,erinn melissa hade,1278,hade,1672
"Haden, Van Ryan",van ryan,van ryan haden,1279,haden,19810
"Hadley, Gregg A",gregg a,gregg a hadley,1280,hadley,
"Hagenberger, Michael J",michael j,michael j hagenberger,1281,hagenberger,19742
"Haglund, Karl E",karl e,karl e haglund,1282,haglund,18373
"Hahn, Hunter",hunter,hunter hahn,1283,hahn,
"Hahn, Peter L",peter l,peter l hahn,1284,hahn,36795
"Hai, Tsonwin",tsonwin,tsonwin hai,1285,hai,36324
"Haisley, Kelly R",kelly r,kelly r haisley,1286,haisley,27561
"Hale, Kenneth Michael",kenneth michael,kenneth michael hale,1287,hale,
"Hale, Vanessa",vanessa,vanessa hale,1288,hale,24101
"Hall, Dennis William",dennis william,dennis william hall,1289,hall,34756
"Hall, Larry Lyn",larry lyn,larry lyn hall,1290,hall,
"Hall, Lisa M",lisa m,lisa m hall,1291,hall,16237
"Hall, Nathan",nathan,nathan hall,1292,hall,
"Hall, Peggy Kirk",peggy kirk,peggy kirk hall,1293,hall,36242
"Hall-Stoodley, Luanne",luanne,luanne hallstoodley,1294,hallstoodley,18239
"Ham, Kathleen Marie",kathleen marie,kathleen marie ham,1295,ham,
"Hamel, Patrice P.",patrice p,patrice p hamel,1296,hamel,4789
"Hamidouche, Khaled",khaled,khaled hamidouche,1297,hamidouche,
"Hamilton, Darrick C",darrick c,darrick c hamilton,1298,hamilton,
"Hamilton, Ian M",ian m,ian m hamilton,1299,hamilton,5194
"Hamilton, Kaitlin M",kaitlin m,kaitlin m hamilton,1300,hamilton,
"Hamilton, Natalie Marie",natalie marie,natalie marie hamilton,1301,hamilton,
"Hamilton, Shanna Ruth",shanna ruth,shanna ruth hamilton,1302,hamilton,33266
"Hamm, Jihun",jihun,jihun hamm,1303,hamm,
